Sexo,Altura(m),Peso(kg)
M,1.86,98.0
M,1.82,95.7
M,1.78,86.6
M,1.8,89.9
M,1.76,85.1
M,1.63,71.5
M,1.79,92.7
M,1.61,64.0
M,1.81,94.0
M,1.77,98.9
M,1.7,76.9
M,1.81,86.7
M,1.87,90.5
M,1.73,91.4
M,1.87,97.6
M,1.78,78.0
M,1.65,73.3
M,1.83,95.1
M,1.71,74.2
M,1.72,80.5
M,1.77,90.6
M,1.68,81.5
M,1.74,80.7
M,1.79,82.4
M,1.69,73.9
M,1.74,80.1
M,1.84,101.9
M,1.71,87.9
M,1.72,74.4
M,1.74,86.0
M,1.74,84.4
M,1.79,89.2
M,1.75,88.6
M,1.76,90.2
M,1.84,91.0
M,1.72,80.9
M,1.76,91.7
M,1.78,83.7
M,1.76,87.8
M,1.9,104.4
M,1.72,78.4
M,1.7,77.7
M,1.85,92.0
M,1.74,92.7
M,1.7,76.3
M,1.88,89.6
M,1.54,62.5
M,1.77,90.9
M,1.72,88.1
M,1.77,88.2
M,1.78,94.4
M,1.64,75.5
M,1.65,84.0
M,1.77,89.4
M,1.73,88.0
M,1.79,92.2
M,1.88,94.2
M,1.82,89.7
M,1.71,83.0
M,1.72,79.1
M,1.58,67.8
M,1.83,97.6
M,1.74,81.6
M,1.77,92.2
M,1.81,82.9
M,1.83,98.1
M,1.84,96.9
M,1.64,73.5
M,1.8,96.3
M,1.8,89.7
M,1.69,78.0
M,1.8,92.2
M,1.7,74.7
M,1.78,87.4
M,1.82,94.7
M,1.78,89.9
M,1.72,76.2
M,1.83,95.0
M,1.75,79.8
M,1.77,89.0
M,1.76,88.4
M,1.74,81.1
M,1.74,87.6
M,1.88,98.8
M,1.84,98.4
M,1.74,86.2
M,1.74,82.2
M,1.65,78.7
M,1.92,98.5
M,1.79,90.3
M,1.86,99.9
M,1.86,94.9
M,1.66,78.3
M,1.9,101.9
M,1.75,94.2
M,1.77,86.7
M,1.7,79.8
M,1.88,96.8
M,1.79,82.5
M,1.85,95.6
M,1.77,86.0
M,1.77,92.6
M,1.69,83.7
M,1.75,90.7
M,1.72,77.5
M,1.83,96.0
M,1.92,98.9
M,1.62,72.6
M,1.76,83.9
M,1.8,88.0
M,1.92,113.2
M,1.81,86.8
M,1.78,89.5
M,1.72,82.8
M,1.73,84.2
M,1.8,90.1
M,1.67,78.3
M,1.88,98.8
M,1.82,89.5
M,1.58,67.1
M,1.65,71.7
M,1.59,63.6
M,1.75,86.7
M,1.77,92.6
M,1.72,77.7
M,1.86,91.8
M,1.77,89.8
M,1.8,101.9
M,1.72,85.5
M,1.8,87.1
M,1.79,94.3
M,1.8,88.8
M,1.76,86.4
M,1.65,69.2
M,1.84,94.0
M,1.75,80.7
M,1.69,78.7
M,1.93,104.8
M,1.84,90.2
M,1.7,81.9
M,1.62,73.0
M,1.74,85.6
M,1.77,91.0
M,1.85,92.2
M,1.87,94.4
M,1.67,73.7
M,1.69,72.6
M,1.74,91.2
M,1.87,96.1
M,1.6,67.4
M,1.73,86.8
M,1.9,94.0
M,1.64,78.2
M,1.81,83.3
M,1.71,81.9
M,1.71,77.3
M,1.8,91.4
M,1.74,87.1
M,1.81,96.1
M,1.71,84.3
M,1.8,80.3
M,1.76,91.2
M,1.87,92.2
M,1.82,91.0
M,1.78,82.7
M,1.9,95.0
M,1.72,76.6
M,1.82,85.6
M,1.83,88.6
M,1.73,78.9
M,1.69,74.0
M,1.78,82.2
M,1.94,108.7
M,1.68,75.3
M,1.67,69.4
M,1.82,90.9
M,1.76,89.6
M,1.86,98.6
M,1.75,88.3
M,1.83,92.3
M,1.83,92.7
M,1.54,58.2
M,1.75,82.3
M,1.74,85.7
M,1.8,90.1
M,1.83,90.2
M,1.78,85.0
M,1.83,92.9
M,1.8,88.0
M,1.84,93.4
M,1.68,79.0
M,1.73,83.2
M,1.84,99.1
M,1.71,79.5
M,1.8,93.6
M,1.82,85.9
M,1.82,97.2
M,1.68,79.6
M,1.79,90.9
M,1.8,98.1
M,1.69,72.3
M,1.66,76.1
M,1.77,82.8
M,1.83,96.5
M,1.7,76.8
M,1.76,79.8
M,1.66,79.4
M,1.85,82.2
M,1.85,85.7
M,1.69,81.0
M,1.59,65.6
M,1.72,74.5
M,1.74,79.1
M,1.72,76.9
M,1.95,116.1
M,1.87,101.0
M,1.72,76.1
M,1.77,91.2
M,1.67,77.5
M,1.75,78.5
M,1.8,85.0
M,1.76,83.9
M,1.9,96.6
M,1.79,91.6
M,1.73,76.1
M,1.81,95.6
M,1.78,93.6
M,1.66,71.0
M,1.72,76.9
M,1.88,103.6
M,1.75,78.1
M,1.76,87.3
M,1.75,79.0
M,1.72,81.4
M,1.82,87.5
M,1.79,88.7
M,1.74,85.2
M,1.82,92.8
M,1.76,96.2
M,1.89,95.2
M,1.84,89.2
M,1.86,94.4
M,1.73,80.0
M,1.71,85.9
M,1.8,88.1
M,1.71,80.2
M,1.81,95.1
M,1.67,71.9
M,1.64,77.7
M,1.71,81.8
M,1.81,95.9
M,1.73,86.2
M,1.71,80.9
M,1.67,74.0
M,1.72,70.4
M,1.58,59.3
M,1.71,84.7
M,1.77,88.0
M,1.78,92.9
M,1.75,90.4
M,1.8,87.2
M,1.82,94.3
M,1.69,73.4
M,1.75,86.6
M,1.73,77.6
M,1.79,85.4
M,1.81,91.0
M,1.78,85.5
M,1.69,75.1
M,1.79,81.1
M,1.75,79.3
M,1.77,85.0
M,1.76,91.4
M,1.82,93.6
M,1.74,91.1
M,1.78,102.1
M,1.8,90.4
M,1.7,77.5
M,1.72,79.3
M,1.8,97.4
M,1.7,79.5
M,1.74,84.9
M,1.68,74.2
M,1.67,71.2
M,1.64,72.1
M,1.67,70.3
M,1.78,80.6
M,1.76,89.1
M,1.79,88.1
M,1.87,95.1
M,1.84,88.4
M,1.87,92.5
M,1.87,96.2
M,1.6,70.3
M,1.84,95.1
M,1.81,79.2
M,1.83,93.4
M,1.69,85.9
M,1.61,65.7
M,1.8,84.8
M,1.92,105.3
M,1.73,83.1
M,1.78,87.0
M,1.82,88.3
M,1.82,92.7
M,1.9,94.3
M,1.7,79.1
M,1.73,84.1
M,1.73,76.3
M,1.83,92.5
M,1.69,74.5
M,1.65,82.0
M,1.73,79.2
M,1.79,90.1
M,1.75,75.7
M,1.85,92.1
M,1.79,86.4
M,1.76,78.2
M,1.68,82.1
M,1.55,61.2
M,1.68,76.9
M,1.76,90.0
M,1.8,87.2
M,1.65,73.1
M,1.7,77.1
M,1.81,86.9
M,1.72,78.6
M,1.74,82.6
M,1.71,85.7
M,1.73,80.1
M,1.8,98.7
M,1.67,76.2
M,1.74,80.5
M,1.84,92.7
M,1.77,98.5
M,1.69,77.2
M,1.72,78.9
M,1.81,85.3
M,1.67,78.4
M,1.74,84.6
M,1.77,93.1
M,1.83,93.3
M,1.72,82.0
M,1.77,86.1
M,1.7,79.5
M,1.82,89.2
M,1.75,83.3
M,1.74,92.1
M,1.73,86.4
M,1.71,75.5
M,1.73,87.0
M,1.8,87.8
M,1.8,88.4
M,1.8,96.5
M,1.89,113.4
M,1.65,76.4
M,1.71,78.9
M,1.8,87.8
M,1.82,93.9
M,1.8,93.4
M,1.79,90.4
M,1.74,81.0
M,1.79,86.0
M,1.82,90.8
M,1.72,75.2
M,1.6,68.7
M,1.7,79.4
M,1.68,79.2
M,1.65,75.4
M,1.74,88.0
M,1.78,86.1
M,1.64,67.5
M,1.84,101.3
M,1.78,86.7
M,1.76,78.2
M,1.77,86.9
M,1.77,87.1
M,1.76,80.6
M,1.64,73.8
M,1.71,80.7
M,1.87,97.4
M,1.8,92.7
M,1.9,102.3
M,1.73,86.3
M,1.77,94.3
M,1.71,80.4
M,1.72,87.4
M,1.8,99.0
M,1.81,87.1
M,1.89,99.7
M,1.77,83.3
M,1.79,83.3
M,1.73,83.3
M,1.83,97.9
M,1.73,80.5
M,1.74,79.8
M,1.75,90.9
M,1.73,82.5
M,1.87,97.8
M,1.71,77.6
M,1.88,97.1
M,1.69,77.1
M,1.83,90.1
M,1.81,93.3
M,1.79,89.8
M,1.67,74.8
M,1.82,91.7
M,1.8,91.6
M,1.77,85.6
M,1.79,90.1
M,1.8,78.9
M,1.69,83.2
M,1.68,83.4
M,1.74,77.5
M,1.74,83.8
M,1.73,76.8
M,1.69,89.7
M,1.63,67.8
M,1.75,79.1
M,1.84,90.8
M,1.8,88.1
M,1.84,93.8
M,1.79,89.6
M,1.84,98.3
M,1.83,99.9
M,1.78,79.8
M,1.76,86.0
M,1.63,69.9
M,1.77,85.5
M,1.64,78.2
M,1.81,95.4
M,1.75,79.5
M,1.71,71.6
M,1.76,91.8
M,1.69,79.9
M,1.73,80.9
M,1.73,79.0
M,1.68,75.6
M,1.8,89.0
M,1.73,87.5
M,1.8,90.7
M,1.83,98.0
M,1.81,95.2
M,1.65,74.5
M,1.69,78.6
M,1.83,92.0
M,1.74,81.6
M,1.78,82.4
M,1.86,91.3
M,1.74,78.3
M,1.77,83.6
M,1.66,76.0
M,1.75,79.8
M,1.68,71.8
M,1.84,90.5
M,1.73,79.1
M,1.82,96.0
M,1.8,89.3
M,1.85,100.2
M,1.81,94.2
M,1.78,100.0
M,1.82,95.3
M,1.93,102.7
M,1.81,90.4
M,1.7,72.8
M,1.81,92.1
M,1.79,88.7
M,1.74,83.3
M,1.62,67.1
M,1.75,83.8
M,1.7,84.9
M,1.68,74.3
M,1.78,91.1
M,1.67,77.2
M,1.71,84.5
M,1.81,92.1
M,1.76,92.1
M,1.75,89.0
M,1.77,81.9
M,1.76,85.6
M,1.74,85.2
M,1.65,72.1
M,1.7,77.6
M,1.75,84.3
M,1.63,71.6
M,1.7,68.6
M,1.77,88.6
M,1.81,85.6
M,1.86,99.2
M,1.89,93.4
M,1.78,86.1
M,1.82,96.3
M,1.75,77.9
M,1.72,81.3
M,1.82,96.2
M,1.75,89.7
M,1.69,79.3
M,1.86,88.7
M,1.87,93.5
M,1.82,90.3
M,1.94,111.7
M,1.8,96.7
M,1.84,104.4
M,1.83,96.5
M,1.73,87.3
M,1.72,78.1
M,1.57,61.5
M,1.74,88.5
M,1.82,97.5
M,1.82,93.9
M,1.82,89.9
M,1.83,94.3
M,1.79,83.1
M,1.73,84.2
M,1.7,74.9
M,1.71,72.6
M,1.77,85.3
M,1.71,79.1
M,1.67,76.3
M,1.57,61.6
M,1.87,99.8
M,1.63,77.0
M,1.76,87.7
M,1.79,88.6
M,1.6,71.4
M,1.72,77.2
M,1.97,105.5
M,1.77,80.6
M,1.81,84.0
M,1.73,83.9
M,1.75,83.5
M,1.9,102.2
M,1.67,67.2
M,1.71,73.9
M,1.67,79.6
M,1.72,78.0
M,1.77,82.5
M,1.81,87.5
M,1.81,88.9
M,1.66,74.4
M,1.82,92.4
M,1.7,81.0
M,1.62,63.7
M,1.81,88.0
M,1.73,82.7
M,1.75,81.2
M,1.52,51.2
M,1.74,85.6
M,1.73,77.7
M,1.91,100.4
M,1.74,90.4
M,1.65,72.2
M,1.8,94.9
M,1.89,103.6
M,1.58,70.0
M,1.7,74.6
M,1.78,88.8
M,1.81,83.3
M,1.93,109.2
M,1.81,93.1
M,1.76,89.5
M,1.73,80.3
M,1.76,78.2
M,1.87,99.2
M,1.68,75.8
M,1.83,95.9
M,1.71,78.0
M,1.75,82.7
M,1.8,88.3
M,1.78,87.2
M,1.72,77.9
M,1.76,86.6
M,1.76,93.3
M,1.73,80.6
M,1.69,69.5
M,1.72,79.3
M,1.72,90.0
M,1.7,85.9
M,1.8,90.6
M,1.84,92.2
M,1.72,81.8
M,1.77,89.4
M,1.73,85.4
M,1.6,72.9
M,1.79,84.9
M,1.89,103.9
M,1.69,75.8
M,1.79,82.9
M,1.72,82.8
M,1.74,83.1
M,1.92,103.4
M,1.66,74.6
M,1.81,97.5
M,1.83,92.5
M,1.71,75.5
M,1.62,69.2
M,1.83,95.3
M,1.66,78.6
M,1.63,68.6
M,1.69,82.9
M,1.84,98.2
M,1.7,89.7
M,1.77,87.3
M,1.65,79.3
M,1.76,85.8
M,1.71,85.3
M,1.78,87.5
M,1.71,84.8
M,1.76,88.7
M,1.8,83.9
M,1.65,68.3
M,1.74,85.5
M,1.69,87.8
M,1.81,91.9
M,1.79,84.6
M,1.72,85.5
M,1.75,89.6
M,1.85,99.7
M,2.01,122.5
M,1.71,80.0
M,1.7,75.4
M,1.7,72.6
M,1.88,103.4
M,1.66,70.2
M,1.72,75.8
M,1.72,77.2
M,1.76,80.6
M,1.76,80.9
M,1.65,68.5
M,1.73,79.6
M,1.84,88.5
M,1.78,92.1
M,1.73,69.2
M,1.7,85.5
M,1.86,96.8
M,1.79,88.4
M,1.76,80.6
M,1.88,98.7
M,1.76,90.2
M,1.76,83.1
M,1.82,99.0
M,1.84,94.1
M,1.72,79.0
M,1.72,82.6
M,1.8,97.3
M,1.74,76.9
M,1.75,86.9
M,1.81,91.1
M,1.71,79.3
M,1.7,76.8
M,1.68,77.8
M,1.7,76.4
M,1.74,81.2
M,1.63,71.8
M,1.69,76.9
M,1.67,76.1
M,1.76,85.7
M,1.87,96.6
M,1.66,66.8
M,1.79,97.2
M,1.77,88.9
M,1.8,90.5
M,1.73,83.3
M,1.83,96.1
M,1.81,79.6
M,1.7,82.3
M,1.73,77.0
M,1.73,88.4
M,1.7,84.8
M,1.79,93.8
M,1.87,99.5
M,1.67,70.3
M,1.79,81.9
M,1.73,85.0
M,1.97,114.6
M,1.84,95.0
M,1.66,80.9
M,1.67,76.3
M,1.92,109.4
M,1.77,88.5
M,1.77,93.1
M,1.75,80.6
M,1.75,94.6
M,1.74,83.6
M,1.79,84.0
M,1.72,76.8
M,1.82,88.1
M,1.72,75.4
M,1.79,85.8
M,1.8,89.8
M,1.76,86.5
M,1.88,95.8
M,1.76,87.4
M,1.84,93.0
M,1.76,81.8
M,1.63,73.2
M,1.59,73.7
M,1.68,71.1
M,1.63,61.3
M,1.83,95.5
M,1.78,92.0
M,1.67,76.4
M,1.91,103.2
M,1.87,101.2
M,1.69,79.3
M,1.71,87.7
M,1.73,85.3
M,1.63,69.3
M,1.78,85.8
M,1.77,78.9
M,1.82,92.8
M,1.73,82.6
M,1.89,95.6
M,1.84,94.4
M,1.85,91.5
M,1.83,94.7
M,1.76,86.2
M,1.71,80.5
M,1.71,81.2
M,1.78,75.9
M,1.63,79.7
M,1.77,88.8
M,1.63,70.3
M,1.69,84.1
M,1.84,91.5
M,1.77,96.0
M,1.72,75.4
M,1.74,85.7
M,1.83,90.9
M,1.78,87.5
M,1.81,93.2
M,1.81,91.6
M,1.76,89.0
M,1.78,87.4
M,1.71,79.4
M,1.8,91.2
M,1.69,75.5
M,1.71,80.4
M,1.73,78.1
M,1.73,81.1
M,1.72,83.3
M,1.69,76.6
M,1.94,104.3
M,1.75,85.1
M,1.84,89.2
M,1.73,92.2
M,1.69,82.5
M,1.8,84.3
M,1.82,86.4
M,1.82,94.3
M,1.71,82.2
M,1.77,91.0
M,1.8,85.6
M,1.72,67.8
M,1.81,93.2
M,1.77,97.3
M,1.86,98.3
M,1.87,101.3
M,1.76,84.9
M,1.82,100.6
M,1.72,76.6
M,1.72,81.3
M,1.74,82.6
M,1.81,94.5
M,1.73,94.2
M,1.71,78.6
M,1.78,96.2
M,1.74,85.2
M,1.69,72.0
M,1.74,84.3
M,1.88,91.0
M,1.86,101.1
M,1.84,94.6
M,1.72,87.8
M,1.78,92.6
M,1.66,74.0
M,1.73,89.4
M,1.76,93.8
M,1.78,89.7
M,1.75,79.1
M,1.76,79.8
M,1.7,80.1
M,1.76,88.4
M,1.81,95.1
M,1.79,85.2
M,1.83,99.5
M,1.76,79.9
M,1.69,74.4
M,1.73,80.3
M,1.61,70.8
M,1.71,80.3
M,1.79,86.8
M,1.74,83.6
M,1.71,77.1
M,1.77,79.0
M,1.52,64.2
M,1.73,72.6
M,1.72,87.9
M,1.77,98.3
M,1.71,86.0
M,1.71,82.4
M,1.81,93.4
M,1.74,84.7
M,1.61,69.0
M,1.83,90.0
M,1.78,84.3
M,1.64,75.6
M,1.82,87.4
M,1.77,91.2
M,1.78,85.6
M,1.84,85.1
M,1.82,92.7
M,1.7,86.4
M,1.73,89.3
M,1.7,79.6
M,1.67,80.8
M,1.76,81.2
M,1.81,92.2
M,1.73,79.1
M,1.76,93.8
M,1.73,82.2
M,1.61,75.2
M,1.71,79.9
M,1.67,72.8
M,1.83,92.2
M,1.65,75.1
M,1.82,92.4
M,1.67,78.5
M,1.85,98.0
M,1.78,84.3
M,1.67,73.7
M,1.71,81.1
M,1.65,75.6
M,1.77,78.9
M,1.72,82.6
M,1.83,96.6
M,1.69,79.3
M,1.73,84.6
M,1.65,75.0
M,1.86,93.8
M,1.69,78.4
M,1.7,83.0
M,1.77,83.6
M,1.76,83.2
M,1.66,79.2
M,1.64,68.3
M,1.75,83.4
M,1.6,69.9
M,1.73,84.5
M,1.72,81.7
M,1.66,70.9
M,1.77,77.0
M,1.9,107.2
M,1.72,77.0
M,1.79,85.6
M,1.64,72.3
M,1.89,96.5
M,1.65,75.2
M,1.81,85.8
M,1.82,83.9
M,1.7,86.4
M,1.76,82.5
M,1.74,82.2
M,1.84,100.3
M,1.73,84.7
M,1.81,86.8
M,1.74,83.3
M,1.79,96.6
M,1.75,83.3
M,1.73,84.5
M,1.81,90.9
M,1.79,90.3
M,1.58,66.1
M,1.76,81.1
M,1.63,71.7
M,1.77,87.4
M,1.87,97.9
M,1.86,94.9
M,1.68,79.0
M,1.83,90.0
M,1.74,85.0
M,1.69,75.6
M,1.79,87.4
M,1.79,86.6
M,1.87,95.2
M,1.63,79.4
M,1.72,82.6
M,1.82,91.7
M,1.75,87.4
M,1.73,79.9
M,1.62,73.0
M,1.7,86.7
M,1.75,85.1
M,1.72,71.8
M,1.61,65.0
M,1.71,84.7
M,1.63,75.6
M,1.88,98.8
M,1.81,90.2
M,1.79,93.6
M,1.77,85.0
M,1.58,63.1
M,1.81,94.9
M,1.8,90.5
M,1.62,71.0
M,1.69,81.3
M,1.7,77.0
M,1.85,86.3
M,1.61,64.0
M,1.81,83.9
M,1.64,71.4
M,1.69,80.4
M,1.71,76.6
M,1.81,93.1
M,1.69,77.6
M,1.82,91.7
M,1.73,83.6
M,1.72,82.0
M,1.73,73.5
M,1.65,74.9
M,1.74,85.0
M,1.73,81.1
M,1.95,103.1
M,1.67,74.0
M,1.79,84.0
M,1.74,84.4
M,1.77,85.2
M,1.82,87.5
M,1.56,69.6
M,1.78,89.5
M,1.93,104.9
M,1.67,66.2
M,1.71,90.2
M,1.79,92.3
M,1.69,73.5
M,1.72,87.0
M,1.92,106.7
M,1.56,61.5
M,1.51,61.9
M,1.69,84.4
M,1.81,89.8
M,1.77,87.3
M,1.71,82.8
M,1.87,102.2
M,1.79,85.1
M,1.65,62.9
M,1.74,80.0
M,1.65,71.5
M,1.81,87.2
M,1.6,69.6
M,1.67,69.4
M,1.85,91.9
M,1.68,77.5
M,1.79,93.5
M,1.65,60.6
M,1.67,79.2
M,1.64,69.5
M,1.7,78.8
M,1.78,89.0
M,1.65,67.6
M,1.71,82.4
M,1.83,86.6
M,1.74,87.2
M,1.8,91.6
M,1.64,72.9
M,1.75,79.1
M,1.7,78.8
M,1.71,80.7
M,1.77,90.7
M,1.75,82.0
M,1.78,85.9
M,1.58,67.8
M,1.79,83.9
M,1.62,63.2
M,1.87,90.7
M,1.82,90.3
M,1.78,82.9
M,1.69,70.7
M,1.8,89.7
M,1.73,87.6
M,1.75,80.9
M,1.81,87.9
M,1.75,80.9
M,1.81,83.7
M,1.89,94.9
M,1.76,81.2
M,1.81,93.5
M,1.82,93.4
M,1.82,90.9
M,1.79,88.1
M,1.69,75.3
M,1.89,91.6
M,1.83,93.5
M,1.86,94.0
M,1.77,82.2
M,1.85,100.6
M,1.67,72.7
M,1.73,79.4
M,1.78,87.5
M,1.8,96.9
M,1.68,81.5
M,1.69,70.1
M,1.89,98.2
M,1.62,73.6
M,1.78,84.8
M,1.93,103.1
M,1.74,84.1
M,1.8,94.1
M,1.73,83.9
M,1.84,97.8
M,1.71,71.9
M,1.76,88.2
M,1.74,83.0
M,1.74,89.0
M,1.75,81.8
M,1.79,84.1
M,1.65,77.4
M,1.85,93.1
M,1.75,82.8
M,1.75,90.7
M,1.91,100.4
M,1.6,54.1
M,1.64,77.0
M,1.76,82.5
M,1.7,80.9
M,1.64,80.2
M,1.78,87.9
M,1.71,70.2
M,1.72,76.0
M,1.78,90.1
M,1.71,90.3
M,1.72,79.5
M,1.81,89.0
M,1.8,86.7
M,1.7,78.6
M,1.69,78.4
M,1.87,95.4
M,1.76,83.4
M,1.75,78.9
M,1.82,94.0
M,1.86,94.2
M,1.77,85.0
M,1.71,86.3
M,1.75,90.1
M,1.85,100.2
M,1.8,91.7
M,1.75,82.3
M,1.79,91.0
M,1.75,86.6
M,1.69,73.9
M,1.75,80.3
M,1.74,81.8
M,1.89,105.3
M,1.75,90.2
M,1.86,94.4
M,1.78,84.2
M,1.89,95.3
M,1.72,89.3
M,1.69,73.8
M,1.75,92.7
M,1.73,78.2
M,1.75,94.9
M,1.8,91.4
M,1.8,91.4
M,1.76,76.1
M,1.74,86.6
M,1.73,81.3
M,1.83,92.3
M,1.8,89.0
M,1.75,85.3
M,1.75,76.4
M,1.7,77.4
M,1.57,65.7
M,1.61,62.7
M,1.65,67.5
M,1.85,92.6
M,1.78,93.2
M,1.68,76.7
M,1.69,79.2
M,1.58,65.6
M,1.77,88.2
M,1.86,104.6
M,1.79,87.8
M,1.84,90.4
M,1.76,80.9
M,1.68,76.0
M,1.64,68.0
M,1.74,74.8
M,1.75,87.3
M,1.65,79.1
M,1.82,94.0
M,1.86,88.9
M,1.66,69.9
M,1.77,82.3
M,1.83,92.3
M,1.78,88.2
M,1.76,89.5
M,1.74,87.4
M,1.88,96.3
M,1.71,85.7
M,1.85,98.5
M,1.75,83.7
M,1.75,88.8
M,1.74,77.0
M,1.55,55.6
M,1.77,75.2
M,1.81,90.1
M,1.82,82.6
M,1.73,77.3
M,1.65,71.3
M,1.69,80.1
M,1.71,74.9
M,1.59,74.4
M,1.78,80.1
M,1.76,80.5
M,1.67,66.4
M,1.75,85.4
M,1.65,73.6
M,1.8,92.0
M,1.62,66.3
M,1.68,77.2
M,1.64,74.8
M,1.83,85.5
M,1.86,92.4
M,1.68,72.7
M,1.8,87.1
M,1.66,80.3
M,1.68,73.3
M,1.68,83.2
M,1.71,71.7
M,1.68,73.7
M,1.53,57.4
M,1.74,77.6
M,1.7,82.3
M,1.71,84.0
M,1.69,74.8
M,1.71,78.7
M,1.76,82.9
M,1.76,88.1
M,1.82,94.5
M,1.79,89.2
M,1.74,89.7
M,1.72,86.9
M,1.79,78.9
M,1.9,97.6
M,1.7,84.9
M,1.72,88.2
M,1.75,87.7
M,1.76,85.2
M,1.66,80.9
M,1.82,79.1
M,1.71,80.1
M,1.84,96.8
M,1.83,87.5
M,1.81,88.2
M,1.76,78.6
M,1.8,85.6
M,1.66,65.1
M,1.59,62.3
M,1.73,83.2
M,1.68,83.0
M,1.75,86.9
M,1.81,89.8
M,1.72,78.8
M,1.66,76.0
M,1.81,94.9
M,1.84,92.8
M,1.8,90.7
M,1.78,87.2
M,1.83,91.1
M,1.78,91.4
M,1.78,85.1
M,1.76,83.7
M,1.74,87.0
M,1.85,88.1
M,1.78,94.2
M,1.87,99.2
M,1.78,90.8
M,1.86,101.3
M,1.74,83.5
M,1.78,95.2
M,1.74,89.1
M,1.64,72.6
M,1.65,72.2
M,1.77,86.0
M,1.77,90.4
M,1.78,82.2
M,1.71,81.0
M,1.79,85.8
M,1.73,82.2
M,1.76,81.2
M,1.73,78.6
M,1.7,87.9
M,1.79,88.4
M,1.76,86.2
M,1.78,85.4
M,1.75,85.6
M,1.66,70.4
M,1.71,78.0
M,1.65,70.1
M,1.76,86.7
M,1.75,82.6
M,1.67,79.8
M,1.67,76.1
M,1.72,70.8
M,1.65,66.7
M,1.68,71.0
M,1.81,87.9
M,1.79,97.7
M,1.73,81.4
M,1.84,92.2
M,1.9,105.3
M,1.88,94.2
M,1.78,83.6
M,1.74,78.3
M,1.66,71.2
M,1.71,84.3
M,1.67,79.5
M,1.88,98.6
M,1.74,87.9
M,1.81,81.4
M,1.76,79.5
M,1.66,77.5
M,1.7,80.2
M,1.82,93.4
M,1.73,77.9
M,1.78,84.2
M,1.95,96.0
M,1.62,75.3
M,1.61,78.0
M,1.71,71.8
M,1.75,82.5
M,1.79,98.1
M,1.78,80.1
M,1.73,84.5
M,1.65,79.2
M,1.64,61.6
M,1.74,86.6
M,1.67,74.4
M,1.83,94.4
M,1.69,78.9
M,1.73,83.8
M,1.85,99.1
M,1.73,79.4
M,1.74,84.8
M,1.66,72.5
M,1.81,93.3
M,1.88,99.4
M,1.67,74.9
M,1.86,89.2
M,1.8,85.9
M,1.67,77.1
M,1.77,82.9
M,1.91,103.2
M,1.83,92.5
M,1.87,97.2
M,1.66,80.9
M,1.72,80.8
M,1.73,81.3
M,1.69,83.1
M,1.86,94.7
M,1.78,87.1
M,1.85,96.9
M,1.75,79.6
M,1.76,83.1
M,1.58,69.3
M,1.73,82.9
M,1.67,77.7
M,1.79,84.2
M,1.84,92.8
M,1.81,86.6
M,1.73,88.3
M,1.85,91.7
M,1.72,82.7
M,1.74,85.3
M,1.69,77.9
M,1.73,78.5
M,1.83,95.7
M,1.82,91.1
M,1.81,95.3
M,1.68,79.7
M,1.8,84.6
M,1.81,93.5
M,1.77,84.7
M,1.66,79.6
M,1.74,86.7
M,1.84,95.9
M,1.61,64.5
M,1.8,93.4
M,1.67,74.0
M,1.66,68.9
M,1.65,64.7
M,1.78,84.6
M,1.71,77.1
M,1.61,74.6
M,1.79,81.8
M,1.82,87.6
M,1.7,80.0
M,1.62,72.6
M,1.72,81.8
M,1.66,84.1
M,1.82,93.1
M,1.83,93.5
M,1.84,95.3
M,1.86,97.8
M,1.78,82.4
M,1.64,73.4
M,1.79,89.7
M,1.74,81.5
M,1.72,84.4
M,1.84,87.2
M,1.71,81.3
M,1.93,107.8
M,1.62,69.2
M,1.75,89.1
M,1.65,78.3
M,1.83,91.8
M,1.7,87.9
M,1.79,84.8
M,1.71,81.5
M,1.67,76.0
M,1.87,105.6
M,1.73,77.9
M,1.67,81.6
M,1.67,74.2
M,1.82,86.6
M,1.87,93.2
M,1.63,66.8
M,1.73,90.5
M,1.89,100.0
M,1.77,93.6
M,1.81,94.9
M,1.86,103.7
M,1.83,93.2
M,1.62,76.1
M,1.84,87.8
M,1.79,85.5
M,1.8,97.5
M,1.83,90.0
M,1.73,80.8
M,1.75,86.0
M,1.68,81.7
M,1.66,68.0
M,1.74,82.1
M,1.67,77.2
M,1.75,81.1
M,1.74,82.3
M,1.76,88.1
M,1.79,92.2
M,1.85,99.4
M,1.76,82.5
M,1.74,84.4
M,1.82,91.5
M,1.75,79.6
M,1.85,85.5
M,1.81,98.6
M,1.79,96.0
M,1.8,89.4
M,1.74,84.7
M,1.57,63.5
M,1.75,85.1
M,1.87,93.1
M,1.69,81.3
M,1.79,94.6
M,1.84,96.1
M,1.87,103.6
M,1.73,77.5
M,1.74,84.5
M,1.88,104.0
M,1.69,80.2
M,1.89,109.3
M,1.72,78.3
M,1.63,70.5
M,1.69,77.3
M,1.76,88.3
M,1.78,86.2
M,1.89,103.0
M,1.74,79.7
M,1.77,84.8
M,1.7,83.0
M,1.81,88.4
M,1.7,75.9
M,1.86,94.6
M,1.69,77.1
M,1.72,74.5
M,1.79,88.9
M,1.81,93.3
M,1.84,96.2
M,1.75,87.9
M,1.71,74.9
M,1.78,86.1
M,1.74,85.8
M,1.73,77.1
M,1.93,101.7
M,1.83,95.7
M,1.74,84.2
M,1.84,94.5
M,1.72,75.5
